dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
3/10/2016,160310_131355sea,,5,1,452657,493114,4,Single,S,22,3.23,1.48,5.33,11.366,FF,12,0.911,L,0,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Swinging Strike,154.988,0.150857,1,chn,0.074689051,-132.77086,0.300797742,7.872240117,10.5003016,7.872240117,10.5003016,3.086046649,55,5.903271951,-10.02886368,-136.1098134,-5.572512451,14.50099957,29.92600066,-12.83699992,93.13,0.183389736,2.513889451,0.159,2.487,0
3/10/2016,160310_131408sea,,5,2,452657,493114,4,Single,S,23,3.23,1.48,4.42,10.718,FF,6,0.923,L,1,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Swinging Strike,157.696,0.545143,1,chn,0.073209163,-135.4448443,0.294954219,6.889196984,9.897413267,6.889196984,9.897413267,3.0066695,55,5.828185811,-11.32210648,-138.8807974,-4.690170238,13.19800007,31.41900069,-13.21800044,95.06,-0.492259371,2.851545839,-0.522,2.832,1
3/10/2016,160310_131423sea,,5,3,452657,493114,4,Single,B,24,3.23,1.48,-3.122,6.02,FC,20,0.906,L,2,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Ball,207.211,-1.432,1,chn,0.077404118,-128.1361849,0.311437956,-0.113482546,5.283047499,-0.113482546,5.283047499,3.023971048,55,5.80026607,-11.21554426,-131.2911721,-5.920728907,-0.195000057,27.2829991,-23.10099986,89.93,-1.783684939,1.164948045,-1.87,1.102,2
3/10/2016,160310_131437sea,,5,4,452657,493114,4,Single,S,25,3.23,1.48,4.581,10.354,FF,10,0.919,L,2,1,L,gid_2016_03_10_chnmlb_seamlb_1/,Foul,156.247,0.232,1,chn,0.073206886,-135.5093415,0.29423952,7.032987326,9.548738934,7.032987326,9.548738934,3.003943297,55,5.810589777,-12.29673587,-138.7659959,-5.212931455,13.53899967,29.77400023,-13.79699996,95.05,-0.856424942,2.582760753,-0.891,2.558,12
3/10/2016,160310_131456sea,,5,5,452657,493114,4,Single,X,26,3.23,1.48,-1.769,8.389,FC,15,0.823,L,2,1,L,gid_2016_03_10_chnmlb_seamlb_1/,"In play, no out",191.809,-0.408,1,chn,0.075964832,-130.6117151,0.305047461,1.076448183,7.602693937,1.076448183,7.602693937,3.108248949,55,5.805087538,-10.29738531,-133.6842928,-5.114103431,1.928000088,27.06900031,-18.56200031,91.48,-1.032880532,2.038646533,-1.097,1.998,12
3/10/2016,160310_131543sea,,1,1,452657,596143,5,Single,X,30,3.37,1.52,2.972,12.415,FF,6,0.925,R,0,0,L,gid_2016_03_10_chnmlb_seamlb_1/,"In play, no out",166.616,0.84973,1,chn,0.073246448,-135.3627877,0.295258864,5.491678239,11.53937624,5.491678239,11.53937624,2.824018037,55,5.847376115,-9.868677644,-138.8359979,-4.390100634,10.49900019,31.7450009,-10.11800006,94.95,-0.309870033,3.242418173,-0.338,3.231,0
3/10/2016,160310_131636sea,,5,1,452657,429664,6,Groundout,B,35,3.68,1.68,3.036,10.642,FF,20,0.915,L,0,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Ball,164.171,-1.288,1,chn,0.073344831,-135.2325159,0.295051248,5.550293847,9.824531999,5.550293847,9.824531999,2.940814538,55,5.761433958,-12.35899899,-138.5484152,-7.994580189,10.62600004,30.26099974,-13.36999992,95,-1.190095846,1.432145852,-1.232,1.392,0
3/10/2016,160310_131654sea,,5,2,452657,429664,6,Groundout,B,36,3.68,1.68,2.232,10.666,FF,15,0.92,L,0,1,L,gid_2016_03_10_chnmlb_seamlb_1/,Ball,168.264,-0.426,1,chn,0.072829503,-136.2169903,0.292659591,4.729401699,9.858101648,4.729401699,9.858101648,2.929196139,55,5.706654683,-11.50819624,-139.4742215,-5.925301089,9.203000183,29.93300063,-12.99600032,95.5,-0.949372246,2.280439619,-0.987,2.254,10
3/10/2016,160310_131720sea,,5,3,452657,429664,6,Groundout,S,37,3.68,1.68,5.927,5.311,SI,12,0.815,L,0,2,L,gid_2016_03_10_chnmlb_seamlb_1/,Foul,132.1,-0.121,1,chn,0.074188659,-133.7409804,0.297888158,8.400587876,4.650192474,8.400587876,4.650192474,2.893783124,55,5.722751546,-10.61953691,-136.8804216,-2.863334666,15.77799999,28.31999976,-23.44499973,93.63,-0.128850035,2.593914626,-0.151,2.559,20
3/10/2016,160310_131749sea,,5,4,452657,429664,6,Groundout,S,38,3.68,1.68,-2.473,6.026,FC,11,0.899,L,1,2,L,gid_2016_03_10_chnmlb_seamlb_1/,Foul,202.141,0.065,1,chn,0.075175692,-132.1184487,0.300233725,0.306116477,5.334862599,0.306116477,5.334862599,3.034203766,55,5.714056626,-8.992060714,-134.8191918,-2.515656521,0.566000099,24.0310002,-22.31500056,92.14,-0.627890535,2.776460137,-0.682,2.745,21
3/10/2016,160310_131828sea,,5,5,452657,429664,6,Groundout,X,39,3.68,1.68,6.085,5.27,SI,13,0.899,L,2,2,L,gid_2016_03_10_chnmlb_seamlb_1/,"In play, out(s)",131.131,-0.168,1,chn,0.073865372,-134.4278693,0.295398728,8.511031028,4.620438562,8.511031028,4.620438562,2.877254075,55,5.709268113,-8.868122204,-137.2786293,-3.055460687,16.25599968,25.81900031,-23.35400012,93.82,0.617016149,2.546350781,0.609,2.512,22
3/10/2016,160310_131911sea,,5,1,452657,552662,7,Double,S,45,3.54,1.54,4.178,9.951,FF,11,0.921,R,0,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Called Strike,157.338,-0.095,1,chn,0.072502267,-136.8614455,0.291006785,6.587134012,9.172396266,6.587134012,9.172396266,2.957422004,55,5.749297977,-11.68459755,-140.0451186,-5.391723158,12.96399986,29.38599974,-14.12699989,95.89,-0.675030772,2.469689787,-0.703,2.445,0
3/10/2016,160310_131932sea,,5,2,452657,552662,7,Double,S,46,3.54,1.54,-0.049,5.743,FF,20,0.691,R,1,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Swinging Strike,180.436,-1.426,1,chn,0.074683094,-132.9552304,0.298677946,2.626477119,5.066687192,2.626477119,5.066687192,3.033141139,55,5.709137707,-12.24532407,-135.7770353,-6.403705321,4.907,25.27700049,-22.71299937,93.05,-1.578186266,1.16970903,-1.639,1.114,1
3/10/2016,160310_131957sea,,5,3,452657,552662,7,Double,S,47,3.54,1.54,1.875,11.049,FF,18,0.903,R,2,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Foul,170.44,-0.345,1,chn,0.073492457,-135.0647729,0.294430296,4.415427648,10.22325715,4.415427648,10.22325715,2.964606302,55,5.702246437,-8.397537393,-138.0646692,-6.079808003,8.488999958,27.31200034,-12.5240002,94.4,0.2634518,2.220985162,0.24,2.195,2
3/10/2016,160310_132040sea,,5,4,452657,552662,7,Double,S,48,3.54,1.54,-7.115,-0.881,CU,18,0.896,R,2,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Foul,276.602,-0.483,1,chn,0.088431229,-112.1934448,0.355202509,-3.077257892,-1.551876606,-3.077257892,-1.551876606,3.005711843,55,5.800462606,-4.023349834,-114.8494626,0.82888894,-4.06500042,20.10099989,-34.22900012,78.36,0.562295504,2.139826615,0.444,2.057,2
3/10/2016,160310_132126sea,,5,5,452657,552662,7,Double,X,49,3.54,1.54,-10.056,-0.971,CU,17,0.903,R,2,0,L,gid_2016_03_10_chnmlb_seamlb_1/,"In play, run(s)",275.177,-0.741,1,chn,0.08982251,-110.4263349,0.361305351,-5.775680981,-1.662054098,-5.775680981,-1.662054098,2.999509934,55,5.819652064,-4.129795342,-113.1284908,0.566029987,-7.374000435,20.13599974,-34.30099872,77.19,0.047983451,1.889367933,-0.097,1.799,2
3/10/2016,160310_132219sea,,2,1,452657,452252,8,Double,B,58,3.5,1.57,2.491,9.981,FF,21,0.911,L,0,0,L,gid_2016_03_10_chnmlb_seamlb_1/,Ball,166.08,-0.992746,1,chn,0.073181433,-135.6123729,0.293488952,4.995013046,9.192064453,4.995013046,9.192064453,2.979203024,55,5.761918907,-10.40669347,-138.7037335,-7.393240569,9.665000076,28.26700026,-14.39299968,94.97,-0.428870974,1.61565584,-0.46,1.577,0
3/10/2016,160310_132239sea,,2,2,452657,452252,8,Double,X,59,3.5,1.57,1.545,8.307,FF,9,0.835,L,0,1,L,gid_2016_03_10_chnmlb_seamlb_1/,"In play, run(s)",169.555,0.735751,1,chn,0.073261489,-135.486719,0.293549562,4.079351484,7.569807943,4.079351484,7.569807943,2.969955198,55,5.723679017,-6.572853195,-138.5075848,-2.571601004,7.889999981,27.59000021,-17.53800014,94.56,0.961669003,3.262790339,0.949,3.245,10
