dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
8/30/2016,160830_211044phi,598b0835-eb71-41aa-81d4-ec5ce481e3c2,7,1,453286,519237,52,Pop Out,B,392,3.38,1.56,-9.85,1.08,CH,20,0.783,R,0,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,263.483,-1.03077,7,was,0.07947842,-124.7906349,0.31980235,-8.694069124,0.84191617,-8.694069124,0.84191617,-3.322080445,55,5.522349934,8.329224738,-127.8672459,-2.23154131,-14.16799966,25.91100055,-30.8069994,87.38,-1.031764253,1.581415079,-1.013,1.532,0
8/30/2016,160830_211110phi,66e58987-3acf-4792-bd68-989be4d1cb6a,7,2,453286,519237,52,Pop Out,S,393,3.38,1.56,-8.371,6.94,FF,23,0.901,R,0,1,R,gid_2016_08_30_wasmlb_phimlb_1/,Called Strike,230.171,-1.18022,7,was,0.072197168,-137.4571696,0.289586693,-7.423159892,6.799237509,-7.423159892,6.799237509,-3.442641261,55,5.320683443,12.74858285,-140.6026084,-6.017748638,-14.75300066,29.15400058,-18.66600056,96.35,0.459212256,1.454297572,0.458,1.396,10
8/30/2016,160830_211157phi,585d0044-bdec-4262-970c-5ab09425b85d,7,3,453286,519237,52,Pop Out,S,394,3.38,1.56,1.423,-0.493,SL,17,0.904,R,1,1,R,gid_2016_08_30_wasmlb_phimlb_1/,Foul,72.5736,-0.554945,7,was,0.081238743,-122.1899534,0.325408809,2.728172956,-0.75415457,2.728172956,-0.75415457,-3.320090731,55,5.465876201,6.312474172,-124.8922124,-0.272408913,4.29399999,22.25599986,-33.36599942,85.26,-0.070881759,2.013383374,-0.063,1.965,11
8/30/2016,160830_211312phi,7f4795f0-bcf9-4ab2-81b9-eb34d3a82a9c,7,3,453286,571437,53,Strikeout,B,404,3.91,1.8,-6.349,9.41,FF,19,0.893,R,1,1,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,213.869,-0.862559,7,was,0.074740184,-132.7426614,0.300240914,-5.3075342,9.278043565,-5.3075342,9.278043565,-3.273609429,55,5.386026777,14.65544546,-135.8929144,-5.111047738,-9.813000122,28.20900089,-15.02499982,93.26,1.930669113,2.006048733,1.927,1.945,11
8/30/2016,160830_211331phi,4fcfb1b1-cbd1-4303-b621-0ed5c305aeb9,7,4,453286,571437,53,Strikeout,S,405,3.91,1.8,1.295,-0.505,SL,15,0.904,R,1,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Called Strike,70.5234,-0.855924,7,was,0.081798465,-121.2983632,0.328451464,2.624081969,-0.771560682,2.624081969,-0.771560682,-3.490964579,55,5.306787084,5.062104458,-124.1473435,0.185128152,4.053999981,23.30899936,-33.37100049,84.72,-0.797899764,2.001259576,-0.786,1.952,21
8/30/2016,160830_211351phi,dac728e6-be3e-4a42-afb2-6b487b084d38,7,5,453286,571437,53,Strikeout,S,406,3.91,1.8,-6.387,9.255,FF,24,0.9,R,2,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Foul,214.472,-1.18768,7,was,0.07311247,-135.6221504,0.294586017,-5.387012545,9.130220624,-5.387012545,9.130220624,-3.280367832,55,5.399957944,12.96650561,-139.0680684,-6.29933,-10.34600011,31.55199939,-14.64400025,95.33,1.112002904,1.662436655,1.109,1.602,22
8/30/2016,160830_211418phi,48efe63f-a044-41aa-bff8-fd6ddd47c60e,7,6,453286,571437,53,Strikeout,B,407,3.91,1.8,0.595,-0.608,SL,21,0.904,R,2,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,46.5968,-1.44171,7,was,0.080906955,-122.6185401,0.325104648,1.889791399,-0.870065542,1.889791399,-0.870065542,-3.11450901,55,5.712074058,5.280860401,-125.5477454,-2.23263992,2.97999998,24.23100024,-33.55100079,85.69,-0.462936914,1.379600188,-0.451,1.334,22
8/30/2016,160830_211440phi,ff50e8b0-b235-4782-9004-b97117438432,7,7,453286,571437,53,Strikeout,S,408,3.91,1.8,-0.832,-0.646,SL,23,0.902,R,2,3,R,gid_2016_08_30_wasmlb_phimlb_1/,Swinging Strike (Blocked),305.755,-1.97915,7,was,0.080989523,-122.3465202,0.327556107,0.469299629,-0.912204443,0.469299629,-0.912204443,-3.403215508,55,5.286562473,8.125876122,-125.710107,-2.446819633,0.729000052,27.81199962,-33.59599896,85.91,0.314503214,0.810326,0.323,0.767,32
8/30/2016,160830_212524phi,edbb3bf3-44fb-4c29-af21-fbfe521d0952,5,1,453286,517370,57,Strikeout,S,440,3.79,1.72,-10.942,0.146,CH,21,0.905,L,0,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Swinging Strike,268.989,-1.34686,8,was,0.080892096,-122.6339415,0.325146232,-9.755213984,-0.108469162,-9.755213984,-0.108469162,-3.360921314,55,5.515698314,9.737682856,-125.5848861,-1.998002702,-15.37900011,24.41599971,-32.35000058,85.89,-0.54746662,1.407050096,-0.529,1.361,0
8/30/2016,160830_212541phi,fe259465-842a-4f7b-b8d9-3c3f9d3c6c41,5,2,453286,517370,57,Strikeout,S,441,3.79,1.72,-2.49,3.022,FC,23,0.615,L,1,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Swinging Strike,219.054,-1.10338,8,was,0.078854097,-125.9049783,0.315592305,-1.297370051,2.808677604,-1.297370051,2.808677604,-3.403833987,55,5.416114607,9.779686386,-128.6298316,-2.697099955,-2.170999924,23.11900073,-27.47900029,87.97,0.631242376,1.665671549,0.636,1.613,1
