dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
4/4/2016,160404_164135atl,d781edc2-bb6d-4a07-8245-dd5e76b2634f,5,1,453286,542255,7,Flyout,B,61,3.07,1.32,-7.738,8.035,FF,0,0.903,L,0,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,223.753,1.68571,1,was,0.074414989,-133.245063,0.299873428,-7.533658758,8.189204926,-7.533658758,8.189204926,-3.185685059,55,5.58997464,3.160047048,-136.6402825,-0.993326665,-13.96299965,30.54399936,-17.00100095,93.19,-3.066302586,3.745572451,-3.103,3.67,0
4/4/2016,160404_164151atl,a77dce70-1f9d-4bb7-858a-a6ad6687f8b9,5,2,453286,542255,7,Flyout,S,62,3.07,1.32,-8.128,7.794,FF,10,0.902,L,0,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Called Strike,226.039,0.211429,1,was,0.073171257,-135.694374,0.292722359,-7.930788489,7.941071195,-7.930788489,7.941071195,-3.174222697,55,5.444203259,8.351437288,-138.5980993,-4.067248039,-15.42599995,26.54900043,-16.73299939,94.71,-1.063198679,2.456115997,-1.096,2.38,10
4/4/2016,160404_164209atl,428871c3-e269-41dd-b73a-f99bd285ce71,5,3,453286,542255,7,Flyout,S,63,3.07,1.32,-8.329,6.612,FF,16,0.902,L,1,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,231.375,-0.0228571,1,was,0.073571791,-134.9083197,0.294873941,-8.12866749,6.767020733,-8.12866749,6.767020733,-3.241198767,55,5.371547056,10.04684548,-137.9371767,-3.816202637,-15.58099968,27.54699962,-19.20799977,94.33,-0.450722268,2.252733472,-0.481,2.175,11
4/4/2016,160404_164230atl,4acd37be-e480-43c5-82e0-b0719554ccd2,5,4,453286,542255,7,Flyout,B,64,3.07,1.32,4.733,-1.67,CU,24,0.905,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,71.1193,-3.86514,1,was,0.085685338,-115.8831596,0.342682616,4.922958239,-1.407062871,4.922958239,-1.407062871,-2.932923585,55,5.791749427,7.067780467,-118.3433424,-6.558080455,6.98700016,19.20800082,-34.17600018,80.96,1.168524124,-1.082505542,1.15,-1.187,12
4/4/2016,160404_164257atl,43cbe5a0-ac48-45dc-81c3-53bb1b0cf48d,5,5,453286,542255,7,Flyout,X,65,3.07,1.32,-7.766,7.815,FF,18,0.902,L,2,2,R,gid_2016_04_04_wasmlb_atlmlb_1/,"In play, out(s)",224.656,0.00457143,1,was,0.072973295,-136.0328671,0.292268202,-7.571007499,7.961551098,-7.571007499,7.961551098,-3.202878749,55,5.323347608,11.81714537,-139.0326973,-4.253255037,-14.77199966,27.5049998,-16.64500005,95.18,0.35006743,2.275913384,0.321,2.199,22
4/4/2016,160404_164336atl,7df45b05-36cf-4bf1-a2fe-406d87e24a62,6,1,453286,430947,8,Groundout,S,69,3.16,1.5,-7.374,8.693,FF,17,0.902,L,0,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,220.153,-0.238554,1,was,0.07336993,-135.2632306,0.29425345,-7.178596936,8.837913389,-7.178596936,8.837913389,-3.153713005,55,5.51029799,11.04923909,-138.3488401,-5.108827049,-13.81800014,28.14200084,-15.16700036,94.69,0.181946747,2.209761787,0.154,2.132,0
4/4/2016,160404_164356atl,7d92196c-6d03-4b9a-bfe5-ae54d977a94e,6,2,453286,430947,8,Groundout,B,70,3.16,1.5,-7.236,7.713,FF,19,0.902,L,1,0,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,223.011,-0.698795,1,was,0.072507443,-136.9317524,0.290122044,-7.046611253,7.857175933,-7.046611253,7.857175933,-3.186325352,55,5.365342469,14.14250442,-139.8767128,-5.565792349,-13.95300037,27.17299907,-16.62099988,95.93,1.341558558,1.827676782,1.315,1.75,1
4/4/2016,160404_164415atl,a1f00279-e045-432e-a450-3bdc1b3e1700,6,3,453286,430947,8,Groundout,S,71,3.16,1.5,0.882,4.874,SL,23,0.903,L,1,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Swinging Strike,169.873,-0.916867,1,was,0.078123752,-127.1640899,0.311603645,1.055054199,5.059133077,1.055054199,5.059133077,-3.252615537,55,5.417839827,8.123944583,-129.6698337,-3.755136926,1.811000042,21.45200031,-23.49500043,88.62,0.393935741,1.653051984,0.371,1.569,11
4/4/2016,160404_164435atl,f7d55e1d-2c7d-4daf-b6d9-32e8f6d1ecbd,6,4,453286,430947,8,Groundout,S,72,3.16,1.5,-1.113,1.894,SL,23,0.903,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Foul,209.834,-1.1253,1,was,0.078436774,-126.6734388,0.312633558,-0.928332073,2.096517646,-0.928332073,2.096517646,-3.23591424,55,5.442521879,9.141492545,-129.1190152,-3.0618546,-1.583000011,20.85199992,-28.60399968,88.28,0.54784622,1.482815329,0.523,1.396,12
4/4/2016,160404_164459atl,55093c84-0660-4b29-83ee-ceb5c210b01d,6,5,453286,430947,8,Groundout,B,73,3.16,1.5,-8.936,7.58,FF,5,0.9,L,2,1,R,gid_2016_04_04_wasmlb_atlmlb_1/,Ball,229.535,0.914458,1,was,0.071548068,-138.7643623,0.286321477,-8.741689928,7.720547661,-8.741689928,7.720547661,-3.181684435,55,5.292329285,7.397036628,-141.759191,-2.175587256,-17.77199966,28.00400035,-16.48299939,96.8,-1.6469754,3.162165914,-1.681,3.089,12
